centrality v2{2} stat-err sys-err
54.5 0.0462499 0.00215036 0.00277499
55.5 0.0512311 0.00174048 0.00307387
56.5 0.048386 0.00226846 0.00290316
57.5 0.0453776 0.00302132 0.00272266
58.5 0.0418364 0.00430661 0.00251018
59.5 0.0429553 0.0044111 0.00257732
60.5 0.0477135 0.00359626 0.00286281
61.5 0.0446313 0.0049248 0.00267788
62.5 0.049853 0.00398493 0.00299118

